test_loss,test_acc
4.5529,0.5642
3.8857,0.6148
3.5916,0.6526
3.5373,0.6422
3.3692,0.6516
3.2619,0.6744
3.1673,0.6737
3.1205,0.6771
3.1775,0.6
2.9397,0.6913
2.9354,0.6836
2.8609,0.6896
2.7446,0.6986
2.8665,0.6
2.7068,0.7036
2.7994,0.6
2.6594,0.7079
2.6227,0.7081
2.4904,0.7231
2.452,0.7272
2.4786,0.7
2.4317,0.7257
2.4454,0.7
2.577,0.7
2.3139,0.7435
2.2657,0.7453
2.5016,0.7
2.7916,0.7
2.3923,0.7
2.5172,0.7
2.1544,0.7586
2.1061,0.764
2.0688,0.7697
2.08,0.7
2.0492,0.7712
2.0704,0.7
2.016,0.7761
2.0388,0.7
2.0233,0.7
2.0136,0.7746
1.989,0.7779
1.9745,0.7801
2.0478,0.7
1.9904,0.7
1.9514,0.7833
1.9378,0.7852
1.9583,0.7
1.9289,0.7855
1.9168,0.7873
2.0735,0.7
1.9725,0.7
1.9248,0.7
1.9,0.7897
1.9547,0.7
1.9726,0.7
1.9072,0.7
1.8894,0.7908
1.907,0.7
1.8875,0.7922
1.8344,0.7987
1.9894,0.7
1.8208,0.8013
1.8713,0.7
1.8537,0.7
1.8299,0.7
2.0306,0.7
1.7691,0.8
1.7711,0.8
1.7541,0.8
1.7387,0.8
1.7312,0.8
1.7215,0.8
1.727,0.8
1.7092,0.8
1.6825,0.8
1.6957,0.8
1.8565,0.8
1.7227,0.8
1.7194,0.8
1.7492,0.8
1.656,0.8177
1.6544,0.8176
1.6311,0.8202
1.6129,0.8221
1.6157,0.8
1.6345,0.8
1.5997,0.8
1.6136,0.8
1.7929,0.8
1.619,0.8
1.5484,0.8
1.6011,0.8
1.6022,0.8
1.5661,0.8
1.5968,0.8
1.5923,0.8
1.5349,0.8
1.5279,0.8
1.5288,0.8
1.5083,0.8
1.518,0.8
1.5553,0.8
1.5257,0.8
1.5701,0.8
1.6198,0.8
1.5099,0.8
1.4943,0.8
1.4904,0.8347
1.5259,0.8301
1.4867,0.835
1.4896,0.8347
1.4788,0.8361
1.5353,0.8293
1.4796,0.8358
1.519,0.8313
1.4937,0.8346
1.6561,0.8167
1.4725,0.8363
1.4593,0.8378